leiden_1.0,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0,67,3,0,0,0,109,0,0,0,0,0,0,1,0,0,0,1039,52,9,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,0,800,9,23,48,0,0,0,0,0,0,0,0,0,0,156,0,0,0
10,0,284,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,55,13,100,0,0,0,0,0,0,0
11,74,0,0,8,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,8,7,1,0,57,12,186
12,0,79,1,0,0,0,24,0,0,0,0,0,0,8,0,0,0,170,50,96,0,0,0,0,0,0,0
13,1,0,0,149,8,0,0,7,0,3,131,14,4,0,9,0,0,0,0,0,7,28,2,39,3,2,9
14,0,0,0,0,2,0,0,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,55,0,0,28,4,0,0,0,0,3,1,3,1,0,45,0,0,0,0,0,11,44,3,6,7,5,90
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,1,0,0,0,0,0
17,0,4,159,0,0,0,0,0,0,0,0,0,2,76,0,0,0,6,12,0,0,0,0,0,0,0,0
18,0,1,1,0,0,5,2,0,135,0,0,0,1,2,1,45,0,30,9,19,0,0,0,0,0,0,0
2,17,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,279,2,47,0,149,65,371
3,0,0,0,0,448,0,0,46,0,62,233,83,2,0,0,0,0,0,0,0,0,0,1,36,0,0,0
4,0,0,0,0,13,0,0,170,0,34,338,267,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
5,0,0,0,0,0,363,0,0,296,0,0,0,0,0,0,88,0,0,0,0,1,0,0,0,0,0,1
6,383,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,189,4,0,2,0,1
7,0,15,5,0,5,0,4,0,0,6,4,0,0,2,0,0,0,1,476,31,0,1,0,5,0,0,1
8,0,0,0,0,3,0,0,2,0,17,3,479,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0
9,35,0,0,79,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,8,237,0,0,1,7,38
