leiden_0.8,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0,133,4,0,0,0,109,0,0,0,0,0,0,1,0,0,0,1058,52,10,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,2,0,806,9,24,49,0,7,0,0,0,0,0,0,0,0,156,0,1,28
10,50,0,0,8,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,8,7,1,0,56,12,190
11,0,229,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,38,14,124,0,0,0,0,0,0,0
12,0,68,0,0,0,0,24,0,0,0,0,0,0,8,0,0,0,166,49,73,0,0,0,0,0,0,0
13,0,0,0,0,2,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1,2,0,0,5,2,0,135,0,0,0,1,2,1,85,0,33,9,19,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,1,0,0,0,0,0
16,0,4,159,0,0,0,0,0,0,0,0,0,2,76,0,0,0,6,12,0,0,0,0,0,0,0,0
2,0,0,0,0,16,0,0,164,0,34,453,283,4,0,0,0,0,0,0,0,0,0,0,55,0,0,0
3,17,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,286,2,49,0,152,67,401
4,85,0,0,257,4,0,0,1,0,3,15,1,0,0,138,0,0,0,0,0,18,343,4,9,8,10,71
5,0,0,0,0,448,0,0,58,0,62,233,82,2,0,0,0,0,0,0,0,0,0,0,36,0,1,3
6,0,0,0,0,0,363,0,0,296,0,0,0,0,0,0,48,0,0,0,0,1,0,0,0,0,0,1
7,413,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,155,4,0,3,0,2
8,0,15,5,0,5,0,4,0,0,6,4,0,0,2,0,0,0,0,476,29,0,1,0,5,0,0,1
9,0,0,0,0,7,0,0,2,0,14,6,479,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0
