leiden_1.0,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0.0,5.234375,0.234375,0.0,0.0,0.0,8.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.0,0.0,0.0,81.171875,4.0625,0.703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926782273603083,0.0,77.07129094412332,0.8670520231213872,2.2157996146435455,4.624277456647398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.028901734104046,0.0,0.0,0.0
10,0.0,62.00873362445415,0.8733624454148471,0.0,0.0,0.0,0.21834061135371177,0.0,0.0,0.0,0.0,0.0,0.0,0.21834061135371177,0.0,0.0,0.0,12.008733624454148,2.8384279475982535,21.83406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16.70428893905192,0.0,0.0,1.805869074492099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.31602708803612,0.0,0.0,0.0,0.0,0.0,1.805869074492099,1.580135440180587,0.2257336343115124,0.0,12.866817155756207,2.708803611738149,41.98645598194131
12,0.0,18.457943925233643,0.23364485981308408,0.0,0.0,0.0,5.607476635514018,0.0,0.0,0.0,0.0,0.0,0.0,1.8691588785046727,0.0,0.0,0.0,39.719626168224295,11.682242990654206,22.429906542056074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.2403846153846154,0.0,0.0,35.81730769230769,1.9230769230769231,0.0,0.0,1.6826923076923077,0.0,0.7211538461538461,31.490384615384613,3.3653846153846154,0.9615384615384616,0.0,2.1634615384615383,0.0,0.0,0.0,0.0,0.0,1.6826923076923077,6.730769230769231,0.4807692307692308,9.375,0.7211538461538461,0.4807692307692308,2.1634615384615383
14,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,8.333333333333332,0.0,8.333333333333332,8.333333333333332,58.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,17.973856209150327,0.0,0.0,9.15032679738562,1.3071895424836601,0.0,0.0,0.0,0.0,0.9803921568627451,0.32679738562091504,0.9803921568627451,0.32679738562091504,0.0,14.705882352941178,0.0,0.0,0.0,0.0,0.0,3.594771241830065,14.37908496732026,0.9803921568627451,1.9607843137254901,2.287581699346405,1.6339869281045754,29.411764705882355
16,0.35842293906810035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2831541218638,0.0,0.0,0.0,0.0,0.35842293906810035,0.0,0.0,0.0,0.0,0.0
17,0.0,1.5444015444015444,61.38996138996139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7722007722007722,29.343629343629345,0.0,0.0,0.0,2.3166023166023164,4.633204633204633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.398406374501992,0.398406374501992,0.0,0.0,1.9920318725099602,0.796812749003984,0.0,53.78486055776892,0.0,0.0,0.0,0.398406374501992,0.796812749003984,0.398406374501992,17.928286852589643,0.0,11.952191235059761,3.5856573705179287,7.569721115537849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.7932489451476792,0.0,0.0,0.21097046413502107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6877637130801686,0.0,0.0,0.0,0.0,0.0,29.430379746835445,0.21097046413502107,4.957805907172996,0.0,15.717299578059071,6.856540084388185,39.13502109704641
3,0.0,0.0,0.0,0.0,49.176728869374315,0.0,0.0,5.049396267837541,0.0,6.805708013172337,25.57628979143798,9.11086717892426,0.21953896816684962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10976948408342481,3.951701427003293,0.0,0.0,0.0
