leiden_10.0,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0.0,1.3392857142857142,0.4464285714285714,0.0,0.0,0.0,17.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.125,2.232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
10,0.0,0.0,94.01197604790418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9880239520958085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,20.0,50.0
11,0.6097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6585365853658534,0.0,0.0,0.0,0.0,0.0,42.68292682926829,0.0,2.4390243902439024,0.0,23.78048780487805,1.8292682926829267,25.0
12,0.6329113924050633,0.0,0.0,0.6329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89873417721519,0.0,0.0,0.0,0.0,0.0,0.6329113924050633,0.0,0.0,0.0,7.59493670886076,6.962025316455696,81.64556962025317
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.70967741935483,0.6451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.6535947712418301,98.0392156862745,0.0,0.0,1.3071895424836601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,17.880794701986755,0.0,0.0,0.0,0.0,2.6490066225165565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.49668874172185,3.9735099337748347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03973509933775,0.0,0.6622516556291391,3.3112582781456954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9867549668874174,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6711409395973155,0.0,0.0,0.0,12.751677852348994,10.06711409395973,76.51006711409396
19,0.0,0.0,0.0,0.0,1.3513513513513513,0.0,0.0,14.864864864864865,0.0,0.6756756756756757,48.64864864864865,33.78378378378378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6756756756756757,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.96907216494846,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.6756756756756757,0.0,0.0,0.0,0.0,1.3513513513513513,0.0,89.1891891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.783783783783784,0.0,0.0,0.0
21,0.0,74.14965986394559,0.6802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.489795918367346,0.6802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,96.55172413793103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,2.0689655172413794,0.6896551724137931,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,97.91666666666666,0.0,0.0,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.6944444444444444
24,3.546099290780142,0.0,0.0,9.929078014184398,1.4184397163120568,0.0,0.0,0.0,0.0,1.4184397163120568,2.8368794326241136,0.7092198581560284,0.0,0.0,15.602836879432624,0.0,0.0,0.0,0.0,0.0,7.092198581560284,3.546099290780142,1.4184397163120568,2.8368794326241136,2.8368794326241136,4.25531914893617,42.5531914893617
25,66.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.285714285714286,0.0,2.142857142857143
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.941176470588235,0.0,0.7352941176470588,0.0,33.088235294117645,2.2058823529411766,61.029411764705884
27,0.0,0.0,0.0,0.0,24.444444444444443,0.0,0.0,0.0,0.0,22.22222222222222,46.666666666666664,0.7407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9259259259259265,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,41.7910447761194,0.0,0.0,15.671641791044777,0.0,8.955223880597014,14.17910447761194,17.91044776119403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4925373134328357,0.0,0.0,0.0
