leiden_1.2,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0,0,0,0,1,0,0,2,0,800,9,23,48,0,0,0,0,0,0,0,0,0,0,156,0,0,0
1,0,0,0,0,11,0,0,162,0,30,320,240,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
10,344,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,138,3,0,2,0,1
11,93,0,0,8,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,8,9,2,0,56,12,185
12,1,0,0,154,8,0,0,7,0,3,130,14,4,0,9,0,0,0,0,0,7,35,2,39,3,2,9
13,0,79,0,0,0,0,24,0,0,0,0,0,0,8,0,0,0,168,49,96,0,0,0,0,0,0,0
14,0,218,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,35,13,99,0,0,0,0,0,0,0
15,0,0,0,0,2,0,0,1,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,54,0,0,28,3,0,0,0,0,3,4,1,1,0,45,0,0,0,0,0,11,44,3,6,7,5,90
17,0,1,2,0,0,5,2,0,135,0,0,0,1,2,1,89,0,29,8,19,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,2,0,0,0,0,0
19,0,4,159,0,0,0,0,0,0,0,0,0,2,76,0,0,0,7,12,0,0,0,0,0,0,0,0
2,0,109,2,0,0,0,62,0,0,0,0,0,0,1,0,0,0,518,36,9,0,0,0,0,0,0,0
20,16,0,0,1,0,1,0,0,0,0,0,0,0,0,8,0,3,0,0,0,144,0,41,0,5,8,5
21,0,0,0,0,75,0,0,33,0,16,42,56,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
3,0,0,0,0,374,0,0,21,0,50,207,50,2,0,0,0,0,0,0,0,0,0,0,32,0,0,0
4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,135,2,7,0,145,57,367
5,0,0,0,0,1,362,0,0,296,0,0,0,0,0,0,44,0,0,0,0,1,1,0,0,0,0,1
6,0,24,2,0,0,0,47,0,0,0,0,0,0,0,0,0,0,543,18,1,0,0,0,0,0,0,0
7,0,15,5,0,5,0,4,0,0,6,4,0,0,2,0,0,0,1,476,31,0,1,0,5,0,0,1
8,56,0,0,76,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,8,277,0,0,1,7,38
9,0,0,0,0,3,0,0,2,0,17,3,483,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0
