statistic,reads_per_cell
count,6030.0
mean,7060.66064453125
std,3333.3984375
min,1376.0
1%,1708.74
5%,2555.45
25%,4802.25
50%,6750.5
75%,8817.75
95%,12192.650000000001
99%,17822.510000000002
max,46933.0
