group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neuroectoderm 1,nectin2,28.94221,3.8745258,3.5170197501482387e-184,3.837244398399236e-180,0.9822222222222222,0.5178423236514523
Neuroectoderm 1,epas1,28.474258,5.150705,2.4410696645261658e-178,1.7755527049875154e-174,0.9577777777777777,0.5643153526970954
Neuroectoderm 1,rabgap1l,28.394262,5.765513,2.3804199114372294e-177,1.2985785721867946e-173,0.9422222222222222,0.22074688796680497
Neuroectoderm 1,LOC100495222,28.206585,4.4520936,4.855363345557909e-175,2.1189776712683827e-171,0.9533333333333334,0.3991701244813278
Neuroectoderm 1,epcam,27.992146,2.4966717,2.0249641611450054e-172,7.364457160057527e-169,0.9955555555555555,0.8921161825726142
Neuroectoderm 1,hpgd,27.836432,4.994908,1.5723911311304594e-170,4.901592410342537e-167,0.9222222222222223,0.24896265560165975
Neuroectoderm 1,plpp3,26.956766,4.4681106,4.7520374882490057e-160,1.2961776253885195e-156,0.9355555555555556,0.3203319502074689
Neuroectoderm 1,ocln,26.931683,3.227897,9.350292392215524e-160,2.2670303365614996e-156,0.96,0.575103734439834
Neuroectoderm 1,atp1b2,26.922781,5.4540577,1.1886740246251635e-159,2.593805589134569e-156,0.8888888888888888,0.11037344398340249
Neuroectoderm 1,upk3b,26.817179,6.551247,2.037405450794133e-158,4.041656758343525e-155,0.8688888888888889,0.06887966804979254
Neuroectoderm 1,phldb3,26.666494,5.6317835,1.1522717712085782e-156,2.0953101932951985e-153,0.88,0.16016597510373445
Neuroectoderm 1,LOC100494753,26.635513,5.4889956,2.634173486431341e-156,4.421561511339868e-153,0.8888888888888888,0.1941908713692946
Neuroectoderm 1,tjp3,26.14785,5.326002,1.0425809800119852e-150,1.5166773043227687e-147,0.8622222222222222,0.13278008298755187
Neuroectoderm 1,rassf7,26.132591,5.376953,1.5545138719208685e-150,2.1200654499490796e-147,0.8622222222222222,0.08796680497925312
Neuroectoderm 1,spint2,25.655392,3.2543983,3.68114218076349e-145,4.725070795672948e-142,0.9511111111111111,0.4829875518672199
Neuroectoderm 1,kifc3,25.390781,5.737835,3.1882464157681665e-142,3.865040279915397e-139,0.8355555555555556,0.08132780082987552
Neuroectoderm 1,dcbld1,25.036695,3.0138302,2.4374199468102433e-138,2.7993126662813854e-135,0.9422222222222222,0.6448132780082988
Neuroectoderm 1,gramd2b,24.963175,4.5052476,1.536233761009005e-137,1.6761078449488748e-134,0.8577777777777778,0.22572614107883818
Neuroectoderm 1,LOC595077,24.661398,6.040666,2.777215382788507e-134,2.885791279420382e-131,0.8066666666666666,0.06473029045643154
Neuroectoderm 1,itpr3,24.463432,2.7714818,3.621333060239685e-132,3.59186857761319e-129,0.9555555555555556,0.8
Neuroectoderm 1,palm2,24.272692,3.4377935,3.809385510537769e-130,3.614113096758464e-127,0.8911111111111111,0.3659751037344398
Neuroectoderm 1,LOC100489839,24.151484,3.73908,7.203420014685507e-129,6.549409505852185e-126,0.8666666666666667,0.3153526970954357
Neuroectoderm 1,prss27,24.078365,5.3536224,4.2131686751613225e-128,3.6774221464278086e-125,0.7977777777777778,0.08879668049792531
Neuroectoderm 1,upk2,23.932188,5.728291,1.4164255381876205e-126,1.1887623718766179e-123,0.7911111111111111,0.07634854771784233
Neuroectoderm 1,adap1l,23.746765,4.561788,1.186632153432978e-124,9.590185266689263e-122,0.8177777777777778,0.16182572614107885
Neuroectoderm 2,col18a1,29.693962,4.5610976,9.188568105525159e-194,2.005037446306645e-189,0.983402489626556,0.6311111111111111
Neuroectoderm 2,gse1,26.342695,2.9017575,6.223234242027322e-153,9.699799599662728e-150,0.9601659751037345,0.58
Neuroectoderm 2,ptgs2,23.190437,2.8781352,5.686355660745626e-119,3.76005960221607e-116,0.9576763485477179,0.5355555555555556
Neuroectoderm 2,fat1,22.517525,1.6515777,2.7955424066620397e-112,1.4524174013279136e-109,0.9858921161825727,0.9022222222222223
Neuroectoderm 2,smad6,21.584972,3.344192,2.486324186107174e-103,1.1072261237764212e-100,0.8,0.2222222222222222
Neuroectoderm 2,notch1,20.730742,2.0469406,1.8294954028430277e-95,7.258439851897765e-93,0.9560165975103735,0.6822222222222222
Neuroectoderm 2,tcf12,20.49636,2.1969554,2.320082125001096e-93,8.299428204860478e-91,0.9369294605809129,0.6
Neuroectoderm 2,phldb1,20.024248,2.0523288,3.385888550085628e-89,1.1194465765366438e-86,0.9344398340248963,0.6088888888888889
Neuroectoderm 2,nhs,19.856684,2.5665557,9.647346892118263e-88,3.1420112915360093e-85,0.891286307053942,0.5244444444444445
Neuroectoderm 2,tox3,19.65999,2.5689862,4.74825595366831e-86,1.5237013700734733e-83,0.8489626556016597,0.4311111111111111
Neuroectoderm 2,dennd2c,19.563173,4.150356,3.1861437092313e-85,9.932120268448028e-83,0.6846473029045643,0.08888888888888889
Neuroectoderm 2,ctnnd2,19.083258,2.7541718,3.478871425443856e-81,9.858760178520828e-79,0.8265560165975103,0.3688888888888889
Neuroectoderm 2,cyyr1,19.05823,2.466244,5.614246710916274e-81,1.570621506139795e-78,0.8746887966804979,0.45111111111111113
Neuroectoderm 2,pcsk5,18.809284,1.352841,6.338870887116503e-79,1.7076605139230768e-76,0.9726141078838174,0.88
Neuroectoderm 2,kpna2,18.785933,2.9478774,9.844230518576978e-79,2.6196457822666858e-76,0.733609958506224,0.20666666666666667
Neuroectoderm 2,dhx32,18.730154,3.0980082,2.8109754198468743e-78,7.302177932914124e-76,0.7278008298755186,0.18222222222222223
