group,cell_count,percent
Neuroectoderm 2,1205,18.49294045426642
Epidermis 2,1122,17.21915285451197
Dorsal Mesoderm 2,955,14.656230816451812
Epidermis1,698,10.712093308778392
Neural Plate Border 1,571,8.76304481276857
Neuroectoderm 1,450,6.906077348066298
Unidentified Cluster,450,6.906077348066298
Ventral Mesoderm 2,356,5.463474524248005
Ventral Endoderm 2,143,2.194597912829957
Dorsal Endoderm 2,128,1.9643953345610805
Cement Gland Primordium,101,1.5500306936771024
Ciliated Epidermal Progenitor,91,1.3965623081645182
Ventral Mesoderm 1,82,1.258440761203192
Dorsal Endoderm 1,64,0.9821976672805403
Dorsal Mesoderm 1,61,0.9361571516267649
Ventral Endoderm 1,39,0.5985267034990792
