leiden_10.0,Anterior Neural Ridge,Anterior Paraxial Mesoderm,Anterior Pre-placodal Region,Cement Gland Primordium,Ciliated Epidermal Progenitor,Early Neuron,Eye Primordium,Foregut Primordium,Goblet Cell,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Neural Crest,Notochord,Notoplate,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Posterior Pre-placodal Region,Pre-placodal Region,Pronephric Primordium,Unknown,Ventral Blood Island,Ventral Mesoderm
0,1.507537688442211,0.0,1.507537688442211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.39195979899498,1.507537688442211,1.507537688442211,9.045226130653267,0.0,0.0,0.0,0.5025125628140703,0.0,1.507537688442211,0.0,0.0,0.0,0.0,0.0,0.0,4.522613065326634,0.0,0.0,0.0,0.0
1,10.880829015544041,0.0,0.0,0.0,0.0,0.0,86.52849740932642,0.0,0.0,0.0,0.0,0.5181347150259068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0362694300518136,0.0,0.0,0.0,0.0,0.0,0.0,1.0362694300518136,0.0,0.0,0.0,0.0
10,0.0,56.95364238410596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9867549668874174,0.0,0.0,0.0,0.0,3.9735099337748347,32.450331125827816,0.0,0.0,0.0,0.0,0.0,4.635761589403973
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.666666666666667,95.33333333333334
12,0.0,0.0,0.0,87.75510204081633,0.6802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6802721088435374,0.0,0.0,0.0,4.761904761904762,0.0,6.122448979591836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,17.123287671232877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36986301369863,0.0,0.0,0.0,0.0,1.36986301369863,72.6027397260274,0.0,0.0,0.0,0.0,0.684931506849315,6.8493150684931505
14,0.0,0.0,0.0,0.0,0.0,20.714285714285715,0.0,0.0,0.0,2.142857142857143,0.0,0.0,71.42857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0
15,0.0,75.91240875912408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4598540145985401,0.0,0.0,0.0,0.0,11.678832116788321,6.569343065693431,0.0,0.0,0.0,0.0,1.4598540145985401,2.9197080291970803
16,1.4598540145985401,0.0,0.0,0.0,0.0,0.7299270072992701,77.37226277372264,0.0,0.0,0.0,0.0,0.0,18.97810218978102,0.7299270072992701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7299270072992701,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,40.14598540145985,0.0,0.0,0.0,0.0,0.7299270072992701,0.0,0.0,0.0,0.0,0.0,0.0,0.7299270072992701,0.0,2.9197080291970803,0.0,0.0,0.0,22.62773722627737,9.48905109489051,23.357664233576642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
