leiden_0.3,Anterior Neural Ridge,Anterior Paraxial Mesoderm,Anterior Pre-placodal Region,Cement Gland Primordium,Ciliated Epidermal Progenitor,Early Neuron,Eye Primordium,Foregut Primordium,Goblet Cell,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Neural Crest,Notochord,Notoplate,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Posterior Pre-placodal Region,Pre-placodal Region,Pronephric Primordium,Unknown,Ventral Blood Island,Ventral Mesoderm
0,72,0,3,0,0,162,543,0,0,200,0,1,606,19,0,0,0,0,6,0,137,0,0,0,0,0,0,23,0,0,0,0
1,0,0,0,46,4,0,0,1,442,0,3,0,0,0,0,6,0,32,0,0,0,811,21,144,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,329,0,0,0,0,0,0,0,0,0,1,22,0,0,0,205,0,0,39,0,0,0,0,60,678,1,12,0,0,21,81
3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,20,0,0,0,0,169,2,0,0,100,0,107,772
4,118,0,164,0,0,93,10,0,0,1,0,1,96,164,2,0,0,0,361,0,1,0,0,0,0,0,128,29,0,0,0,0
5,0,0,0,185,4,0,0,3,8,0,1,1,0,0,0,117,0,16,0,0,0,99,304,185,0,0,0,0,0,0,0,0
6,24,0,18,0,0,0,1,0,0,0,0,468,9,28,78,0,0,0,4,0,3,0,0,0,0,0,72,60,0,0,0,0
7,0,5,0,0,0,23,1,0,0,0,0,0,247,8,0,0,14,0,0,299,46,0,0,0,2,29,1,6,1,0,2,1
8,0,0,0,0,1,0,0,81,0,0,137,0,0,0,0,60,0,119,0,0,0,10,2,14,0,0,0,0,0,0,0,0
9,0,0,0,0,152,0,0,1,0,0,0,0,0,0,0,7,0,5,0,0,0,32,8,1,0,0,0,0,0,0,0,0
