leiden_1.2,Anterior Neural Ridge,Anterior Paraxial Mesoderm,Anterior Pre-placodal Region,Cement Gland Primordium,Ciliated Epidermal Progenitor,Early Neuron,Eye Primordium,Foregut Primordium,Goblet Cell,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Neural Crest,Notochord,Notoplate,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Posterior Pre-placodal Region,Pre-placodal Region,Pronephric Primordium,Unknown,Ventral Blood Island,Ventral Mesoderm
0,0,0,0,0,4,0,0,0,293,0,2,0,0,0,0,3,0,17,0,0,0,553,13,60,0,0,0,0,0,0,0,0
1,19,0,15,0,0,0,1,0,0,0,0,467,7,28,77,0,0,0,4,0,3,0,0,0,0,0,61,60,0,0,0,0
10,0,0,2,0,0,9,7,0,0,196,0,0,115,10,0,0,0,0,4,0,91,0,0,0,0,0,0,5,0,0,0,0
11,0,0,0,0,1,0,0,81,0,0,136,0,0,0,0,40,0,119,0,0,0,9,2,14,0,0,0,0,0,0,0,0
12,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,3,0,0,0,0,5,2,0,0,69,0,16,175
13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,7,0,0,0,0,165,1,0,0,11,0,25,112
14,0,2,0,0,0,1,0,0,0,0,0,0,8,0,0,0,11,0,0,263,34,0,0,0,1,10,0,0,1,0,1,0
15,0,0,0,1,0,0,0,1,120,0,1,0,0,0,0,2,0,10,0,0,0,129,7,60,0,0,0,0,0,0,0,0
16,0,0,0,184,1,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,39,13,41,0,0,0,0,0,0,0,0
17,6,7,0,0,0,0,0,0,0,0,0,2,36,0,1,0,107,0,0,16,0,0,0,0,0,70,1,16,0,0,4,12
18,0,0,0,0,0,3,1,0,0,0,0,0,245,8,0,0,0,0,0,0,6,0,0,0,0,0,1,6,0,0,0,0
19,0,0,0,45,0,0,0,0,29,0,0,0,0,0,0,1,0,5,0,0,0,129,1,25,0,0,0,0,0,0,0,0
2,27,0,1,0,0,9,514,0,0,1,0,1,83,2,0,0,0,0,1,0,14,0,0,0,0,0,0,4,0,0,0,0
20,0,0,0,0,152,0,0,1,0,0,0,0,0,0,0,7,0,5,0,0,0,32,8,1,0,0,0,0,0,0,0,0
21,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,115,3,0,0,36,0,13,4,3,0,20,0,0,0,0,1,0
22,107,0,2,0,0,0,29,0,0,2,0,0,25,9,0,0,0,0,9,0,1,0,0,0,0,0,0,2,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,0,163,2,0,0,2,0,0,386,8,0,0,0,0,1,0,37,0,0,0,0,0,0,14,0,0,0,0
4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,12,0,0,0,0,7,415,0,0,0,0,13,44
5,2,0,4,0,0,32,0,0,0,0,0,0,74,140,0,0,0,0,333,0,0,0,0,0,0,0,5,11,0,0,0,0
6,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,53,191,0,0,0,0,4,26
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,20,0,66,485
8,0,0,0,1,3,0,0,1,7,0,0,1,0,0,0,21,0,11,0,0,0,48,287,140,0,0,0,0,0,0,0,0
9,52,0,161,0,0,61,1,0,0,0,0,1,1,14,1,0,0,0,19,0,0,0,0,0,0,0,134,12,0,0,0,0
