leiden_1.0,Anterior Neural Ridge,Anterior Paraxial Mesoderm,Anterior Pre-placodal Region,Cement Gland Primordium,Ciliated Epidermal Progenitor,Early Neuron,Eye Primordium,Foregut Primordium,Goblet Cell,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Neural Crest,Notochord,Notoplate,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Posterior Pre-placodal Region,Pre-placodal Region,Pronephric Primordium,Unknown,Ventral Blood Island,Ventral Mesoderm
0,0,0,0,0,4,0,0,0,311,0,2,0,0,0,0,3,0,17,0,0,0,573,13,66,0,0,0,0,0,0,0,0
1,129,0,2,0,0,9,544,0,0,3,0,1,108,6,0,0,0,0,6,0,15,0,0,0,0,0,0,5,0,0,0,0
10,6,7,0,0,0,1,1,0,0,0,0,1,276,8,0,0,92,0,0,15,18,0,0,0,0,39,2,21,0,0,4,7
11,56,0,161,0,0,61,1,0,0,0,0,1,1,14,1,0,0,0,19,0,0,0,0,0,0,0,124,12,0,0,0,0
12,0,0,2,0,0,9,5,0,0,196,0,0,116,10,0,0,0,0,4,0,93,0,0,0,0,0,0,5,0,0,0,0
13,0,0,0,0,1,0,0,81,0,0,137,0,0,0,0,60,0,119,0,0,0,10,2,14,0,0,0,0,0,0,0,0
14,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,3,0,0,0,0,5,2,0,0,77,0,16,190
15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,7,0,0,0,0,165,1,0,0,11,0,25,113
16,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0,0,263,22,0,0,0,1,10,0,0,1,0,1,0
17,0,0,0,1,0,0,0,1,102,0,1,0,0,0,0,2,0,10,0,0,0,114,7,55,0,0,0,0,0,0,0,0
18,0,0,0,0,152,0,0,1,0,0,0,0,0,0,0,7,0,5,0,0,0,32,8,1,0,0,0,0,0,0,0,0
19,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,95,3,0,0,36,0,12,4,3,0,20,0,0,0,0,1,0
2,19,0,15,0,0,0,1,0,0,0,0,468,8,28,78,0,0,0,4,0,3,0,0,0,0,0,71,60,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,13,0,0,0,0,7,436,0,0,0,0,13,49
4,1,0,0,0,0,165,2,0,0,2,0,0,397,8,0,0,0,0,1,0,35,0,0,0,0,0,0,14,0,0,0,0
5,3,0,5,0,0,32,1,0,0,0,0,0,73,145,0,0,0,0,337,0,0,0,0,0,0,0,5,13,0,0,0,0
6,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,53,201,0,0,0,0,4,26
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,12,0,66,469
8,0,0,0,1,3,0,0,1,7,0,0,1,0,0,0,21,0,11,0,0,0,48,287,140,0,0,0,0,0,0,0,0
9,0,0,0,229,1,0,0,0,30,0,0,0,0,0,0,2,0,10,0,0,0,163,14,65,0,0,0,0,0,0,0,0
