statistic,reads_per_cell
count,10300.0
mean,3381.720000965627
std,333.5477336048641
min,2122.0978259826347
1%,2494.1632977969803
5%,2813.310723362814
25%,3173.3472045704684
50%,3399.0968207212336
75%,3605.564165958543
95%,3898.027354504035
99%,4139.431489149115
max,4875.174900961123
