leiden_0.1,Anterior Neural Crest,Anterior Neural Ridge,Anterior Paraxial Mesoderm,Anterior Pharyngeal Primordium,Anterior Pre-placodal Region,Basal Cells,Cement Gland Primordium,Ciliated Epidermal Progenitor,Early Neuron,Eye Primordium,Foregut Primordium,Goblet Cell,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Primordium,Lateral Mesoderm,Liver Primordium,Midgut Primordium,Neural Crest,Notochord,Notoplate,Other,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pancreatic Primordium,Pharyngeal Mesoderm,Pharyngeal Primordium,Posterior Neural Crest,Posterior Paraxial Mesoderm,Posterior Pre-placodal Region,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Unknown,Ventral Blood Island,Ventral Mesoderm
0,4.090121317157712,7.175043327556326,0.0,0.0,0.658578856152513,1.0398613518197575,0.0,0.0,10.641247833622183,15.909878682842288,0.0,0.0,7.105719237435008,0.0,0.03466204506065858,31.646447140381284,2.1143847487001732,0.0,0.0,0.0,0.0,0.0,8.665511265164644,0.0,6.031195840554593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.466204506065858,0.0,0.3119584055459272,0.0,1.1091854419410745,0.0,0.0,0.0,0.0
1,0.0,0.0,14.960629921259844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.951512639867385,0.0,0.0,0.0,1.1189390799834231,0.0,0.0,0.0,0.0,0.0,0.0,7.376709490261085,0.0,0.0,23.207625362619147,0.0,2.527973476999586,0.0,7.169498549523415,0.0,5.428926647326978,29.258184832159138
2,0.0,0.06565988181221273,0.0,0.1969796454366382,0.0,0.0,7.156927117531188,0.2626395272488509,0.0,0.0,0.3939592908732764,61.06369008535785,0.0,0.0,0.0,0.0,0.0,0.5252790544977018,0.06565988181221273,0.0,0.1969796454366382,1.969796454366382,0.0,0.0,0.0,0.0,18.64740643466842,0.13131976362442546,7.091267235718976,0.06565988181221273,0.0,2.1667760998030205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.08183306055646482,18.494271685761046,0.0,0.0,8.919803600654665,7.774140752864158,0.0,0.0,3.6824877250409163,0.0,0.0,0.0,0.0,0.0,23.81342062193126,0.4909983633387889,2.20949263502455,6.873977086743044,0.0,0.0,0.0,0.0,0.4909983633387889,0.0,0.4909983633387889,0.0,0.8183306055646482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.757774140752865,0.0,8.101472995090015,0.0,0.0,0.0,0.0
4,0.0,0.23094688221709006,0.0,4.157043879907621,0.0,0.0,0.23094688221709006,0.0,0.0,0.0,9.930715935334874,3.233256351039261,0.0,13.394919168591224,0.0,0.0,0.0,0.6928406466512702,7.852193995381063,0.0,5.542725173210162,22.863741339491916,0.0,0.0,0.0,0.9237875288683602,4.849884526558892,0.6928406466512702,2.3094688221709005,10.623556581986143,0.0,12.471131639722865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,1.6574585635359116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.524861878453039,0.0,0.0,0.0,87.84530386740332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6574585635359116,0.0,1.6574585635359116,0.0,0.5524861878453038,0.0,0.0,1.1049723756906076
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.80446927374301,0.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.5586592178770949,1.675977653631285,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.5586592178770949,22.905027932960895,2.793296089385475,3.35195530726257,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
