leiden_1.2,Anterior Neural Crest,Anterior Neural Ridge,Anterior Paraxial Mesoderm,Anterior Pharyngeal Primordium,Anterior Pre-placodal Region,Basal Cells,Cement Gland Primordium,Ciliated Epidermal Progenitor,Early Neuron,Eye Primordium,Foregut Primordium,Goblet Cell,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Primordium,Lateral Mesoderm,Liver Primordium,Midgut Primordium,Neural Crest,Notochord,Notoplate,Other,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pancreatic Primordium,Pharyngeal Mesoderm,Pharyngeal Primordium,Posterior Neural Crest,Posterior Paraxial Mesoderm,Posterior Pre-placodal Region,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Unknown,Ventral Blood Island,Ventral Mesoderm
0,0,0,0,1,0,0,6,4,0,0,4,630,0,0,0,0,0,7,0,0,2,14,0,0,0,0,224,0,26,0,0,7,0,0,0,0,0,0,0,0,0
1,0,155,0,0,4,1,0,0,0,389,0,0,1,0,0,44,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,90,259
11,2,3,0,0,2,0,0,0,17,0,0,0,0,0,0,18,10,0,0,0,0,0,197,0,2,0,0,0,0,0,0,0,92,0,3,0,2,0,0,0,0
12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,7,1,0,0,0,0,0,3,0,0,175,0,4,0,1,0,7,19
13,0,0,0,0,1,1,0,0,179,2,0,0,0,0,0,160,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0,0,0,0,0,0,0,0,57,1,0,0,17,0,0,241,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
15,0,0,0,18,0,0,0,0,0,0,43,4,0,52,0,0,0,3,4,0,23,59,0,0,0,0,2,0,3,46,0,53,0,0,0,0,0,0,0,1,0
16,0,3,0,0,0,25,0,0,9,0,0,0,18,0,1,151,7,0,0,0,0,0,7,0,62,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0
17,0,1,0,2,0,0,102,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,18,2,54,0,0,25,0,0,0,0,0,0,0,0,0
18,0,17,0,0,1,1,0,0,0,0,0,0,2,0,4,137,9,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,160,5,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,2
2,0,115,0,0,5,4,0,0,1,0,0,0,0,0,285,6,10,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,29,0,71,0,0,0,0
20,0,0,0,0,0,0,0,116,0,0,0,2,0,0,0,0,0,1,3,0,0,2,0,0,0,1,41,5,6,0,0,2,0,0,0,0,0,0,0,0,0
21,114,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0
22,1,2,0,0,0,0,1,0,2,0,0,10,0,6,0,1,23,0,30,0,1,40,7,0,0,4,19,3,7,0,0,1,5,0,0,0,0,0,0,0,0
23,1,33,0,0,2,0,0,0,0,52,0,0,17,0,0,23,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,98,0,0,104,1,0,0,47,0,0,0,0,0,1,0,13,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,187,0,28,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,125,0,0,0,0,54,0,11,0,12,279
5,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,5,0,0,0,0,0,0,8,0,0,9,0,2,0,157,0,3,119
6,0,2,0,0,9,2,0,0,40,15,0,0,150,0,0,132,6,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0
7,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,5,0,0,322,0,0,0,0,0,5,16
8,0,0,0,0,0,0,1,0,0,0,2,287,0,0,0,0,0,1,1,0,1,8,0,0,0,0,42,0,28,1,0,1,0,0,0,0,0,0,0,0,0
9,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37,0,0,54,0,0,0,0,0,12,14
