leiden_0.3,Anterior Neural Crest,Anterior Neural Ridge,Anterior Paraxial Mesoderm,Anterior Pharyngeal Primordium,Anterior Pre-placodal Region,Basal Cells,Cement Gland Primordium,Ciliated Epidermal Progenitor,Early Neuron,Eye Primordium,Foregut Primordium,Goblet Cell,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Primordium,Lateral Mesoderm,Liver Primordium,Midgut Primordium,Neural Crest,Notochord,Notoplate,Other,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pancreatic Primordium,Pharyngeal Mesoderm,Pharyngeal Primordium,Posterior Neural Crest,Posterior Paraxial Mesoderm,Posterior Pre-placodal Region,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Unknown,Ventral Blood Island,Ventral Mesoderm
0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,14,0,0,0,0,0,0,133,0,0,8,0,57,0,173,0,104,661
1,0,0,0,1,0,0,7,4,0,0,6,918,0,0,0,0,0,8,1,0,3,22,0,0,0,0,267,0,55,1,0,8,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,116,0,0,0,2,0,0,0,0,0,1,3,0,0,2,0,0,0,1,41,5,6,0,0,2,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,192,0,0,15,3,0,0,14,456,0,0,159,0,0,197,10,0,0,0,0,0,2,0,85,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0
3,1,225,0,0,109,95,0,0,45,0,0,0,0,0,291,6,27,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,217,0,99,0,0,0,0
4,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,12,0,0,0,0,0,0,45,0,0,552,0,4,0,0,0,26,45
5,0,6,0,0,2,2,0,0,267,3,0,0,28,0,0,515,8,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
6,117,8,0,0,2,0,0,0,17,0,0,0,1,0,0,25,36,0,0,0,0,0,240,0,2,0,0,0,0,0,0,0,100,0,2,0,4,0,0,0,0
7,0,3,3,0,0,25,0,0,9,0,0,0,17,0,1,176,7,0,0,10,0,0,7,160,69,0,0,0,0,0,0,0,0,3,2,3,4,1,0,0,2
8,0,0,0,18,0,0,1,0,0,0,43,14,0,58,0,0,0,3,34,0,24,99,0,0,0,4,21,3,10,46,0,54,0,0,0,0,0,0,0,1,0
9,0,1,0,2,0,0,102,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,0,17,2,53,0,0,25,0,0,0,0,0,0,0,0,0
