leiden_1.2,Anterior Neural Crest,Anterior Neural Ridge,Anterior Paraxial Mesoderm,Anterior Pharyngeal Primordium,Anterior Pre-placodal Region,Basal Cells,Cement Gland Primordium,Ciliated Epidermal Progenitor,Early Neuron,Eye Primordium,Foregut Primordium,Goblet Cell,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Primordium,Lateral Mesoderm,Liver Primordium,Midgut Primordium,Neural Crest,Notochord,Notoplate,Other,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pancreatic Primordium,Pharyngeal Mesoderm,Pharyngeal Primordium,Posterior Neural Crest,Posterior Paraxial Mesoderm,Posterior Pre-placodal Region,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Unknown,Ventral Blood Island,Ventral Mesoderm
0,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.6486486486486486,0.43243243243243246,0.0,0.0,0.43243243243243246,68.10810810810811,0.0,0.0,0.0,0.0,0.0,0.7567567567567568,0.0,0.0,0.21621621621621623,1.5135135135135136,0.0,0.0,0.0,0.0,24.216216216216218,0.0,2.810810810810811,0.0,0.0,0.7567567567567568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,25.74750830564784,0.0,0.0,0.6644518272425249,0.16611295681063123,0.0,0.0,0.0,64.61794019933555,0.0,0.0,0.16611295681063123,0.0,0.0,7.308970099667775,0.16611295681063123,0.0,0.0,0.0,0.0,0.0,0.33222591362126247,0.0,0.16611295681063123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4983388704318937,0.0,0.16611295681063123,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,1.1111111111111112,0.0,25.0,71.94444444444444
11,0.5747126436781609,0.8620689655172413,0.0,0.0,0.5747126436781609,0.0,0.0,0.0,4.885057471264368,0.0,0.0,0.0,0.0,0.0,0.0,5.172413793103448,2.8735632183908044,0.0,0.0,0.0,0.0,0.0,56.60919540229885,0.0,0.5747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.436781609195403,0.0,0.8620689655172413,0.0,0.5747126436781609,0.0,0.0,0.0,0.0
12,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.195402298850574,0.0,0.0,0.0,2.0114942528735633,0.28735632183908044,0.0,0.0,0.0,0.0,0.0,0.8620689655172413,0.0,0.0,50.287356321839084,0.0,1.1494252873563218,0.0,0.28735632183908044,0.0,2.0114942528735633,5.459770114942529
13,0.0,0.0,0.0,0.0,0.2881844380403458,0.2881844380403458,0.0,0.0,51.5850144092219,0.5763688760806917,0.0,0.0,0.0,0.0,0.0,46.10951008645533,0.5763688760806917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2881844380403458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2881844380403458,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01492537313433,0.2985074626865672,0.0,0.0,5.074626865671641,0.0,0.0,71.94029850746269,0.5970149253731344,0.0,0.0,0.0,0.0,0.0,0.2985074626865672,0.0,1.1940298507462688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.582089552238806,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,5.787781350482315,0.0,0.0,0.0,0.0,0.0,0.0,13.826366559485532,1.2861736334405145,0.0,16.720257234726688,0.0,0.0,0.0,0.964630225080386,1.2861736334405145,0.0,7.395498392282958,18.971061093247588,0.0,0.0,0.0,0.0,0.6430868167202572,0.0,0.964630225080386,14.790996784565916,0.0,17.041800643086816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3215434083601286,0.0
16,0.0,1.0380622837370241,0.0,0.0,0.0,8.650519031141869,0.0,0.0,3.1141868512110724,0.0,0.0,0.0,6.228373702422145,0.0,0.34602076124567477,52.24913494809689,2.422145328719723,0.0,0.0,0.0,0.0,0.0,2.422145328719723,0.0,21.453287197231834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6920415224913495,0.0,1.384083044982699,0.0,0.0,0.0,0.0
17,0.0,0.4444444444444444,0.0,0.8888888888888888,0.0,0.0,45.33333333333333,0.0,0.0,0.0,0.0,5.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5555555555555554,0.0,0.0,0.0,0.0,8.0,0.8888888888888888,24.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
