statistic,reads_per_cell
count,14100.0
mean,3659.695035460993
std,1714.9854179566635
min,1459.0
1%,1684.99
5%,1867.0
25%,2499.0
50%,3274.0
75%,4355.25
95%,6710.0
99%,9300.48000000001
max,41121.0
