statistic,reads_per_cell
count,6525.0
mean,6931.14111328125
std,6610.89697265625
min,1376.0
1%,1596.48
5%,2140.4
25%,4412.0
50%,6340.0
75%,8340.0
95%,11984.799999999996
99%,19632.12000000003
max,230328.0
