leiden_1.2,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0,15,0,0,871,109,242,0,0,0,0,2,0,0
1,0,19,0,0,172,833,167,0,0,0,0,4,0,0
10,0,130,0,0,221,244,118,0,0,0,0,106,0,0
11,0,26,0,0,288,346,110,0,0,1,0,6,0,0
12,0,0,19,16,0,0,0,261,361,0,0,0,1,3
13,1,0,0,0,0,0,0,0,0,579,1,0,0,0
14,1,1,207,143,0,0,0,13,30,18,0,1,55,35
15,0,0,7,5,0,0,0,94,152,0,0,0,12,24
16,0,0,0,0,0,0,0,0,0,221,0,0,0,0
17,0,0,0,0,0,0,0,0,0,22,0,0,0,0
18,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,0,2,0,0,0,0,1123,4,0,0,0,0,1
3,482,455,0,0,0,0,0,0,0,0,127,38,0,0
4,22,460,0,0,20,232,23,0,0,0,1,262,0,0
5,0,0,7,0,0,0,0,679,313,0,0,0,2,5
6,0,56,0,0,142,483,232,0,0,0,0,7,0,0
7,0,162,0,0,67,215,84,0,0,0,4,349,0,0
8,16,11,0,0,0,2,0,0,0,0,346,498,0,0
9,0,12,0,0,525,87,227,0,0,0,0,3,0,0
