leiden_1.2,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0.0,1.2106537530266344,0.0,0.0,70.29862792574657,8.797417271993544,19.5318805488297,0.0,0.0,0.0,0.0,0.16142050040355124,0.0,0.0
1,0.0,1.5899581589958158,0.0,0.0,14.393305439330545,69.7071129707113,13.97489539748954,0.0,0.0,0.0,0.0,0.33472803347280333,0.0,0.0
10,0.0,15.873015873015872,0.0,0.0,26.984126984126984,29.792429792429793,14.407814407814406,0.0,0.0,0.0,0.0,12.942612942612945,0.0,0.0
11,0.0,3.346203346203346,0.0,0.0,37.06563706563706,44.53024453024453,14.157014157014158,0.0,0.0,0.1287001287001287,0.0,0.7722007722007722,0.0,0.0
12,0.0,0.0,2.8744326777609683,2.4205748865355523,0.0,0.0,0.0,39.4856278366112,54.61422087745839,0.0,0.0,0.0,0.15128593040847202,0.45385779122541603
13,0.17211703958691912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.65576592082617,0.17211703958691912,0.0,0.0,0.0
14,0.1984126984126984,0.1984126984126984,41.07142857142857,28.373015873015873,0.0,0.0,0.0,2.579365079365079,5.952380952380952,3.571428571428571,0.0,0.1984126984126984,10.912698412698413,6.944444444444445
15,0.0,0.0,2.380952380952381,1.7006802721088436,0.0,0.0,0.0,31.97278911564626,51.70068027210885,0.0,0.0,0.0,4.081632653061225,8.16326530612245
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.17699115044247787,0.0,0.0,0.0,0.0,99.38053097345133,0.35398230088495575,0.0,0.0,0.0,0.0,0.08849557522123894
3,43.738656987295826,41.28856624319419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.524500907441016,3.4482758620689653,0.0,0.0
4,2.156862745098039,45.09803921568628,0.0,0.0,1.9607843137254901,22.745098039215687,2.2549019607843137,0.0,0.0,0.0,0.09803921568627451,25.68627450980392,0.0,0.0
5,0.0,0.0,0.6958250497017893,0.0,0.0,0.0,0.0,67.49502982107356,31.11332007952286,0.0,0.0,0.0,0.19880715705765406,0.4970178926441352
6,0.0,6.086956521739131,0.0,0.0,15.434782608695652,52.5,25.217391304347824,0.0,0.0,0.0,0.0,0.7608695652173914,0.0,0.0
7,0.0,18.388195232690123,0.0,0.0,7.604994324631101,24.404086265607265,9.534619750283769,0.0,0.0,0.0,0.4540295119182747,39.61407491486947,0.0,0.0
8,1.8327605956471937,1.2600229095074456,0.0,0.0,0.0,0.22909507445589922,0.0,0.0,0.0,0.0,39.63344788087056,57.0446735395189,0.0,0.0
9,0.0,1.405152224824356,0.0,0.0,61.47540983606557,10.187353629976581,26.580796252927403,0.0,0.0,0.0,0.0,0.351288056206089,0.0,0.0
