leiden_1.0,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0,14,0,0,1010,163,317,0,0,0,0,3,0,0
1,0,37,0,0,733,416,286,0,0,0,0,10,0,0
10,1,1,215,148,0,0,0,95,181,18,0,1,67,59
11,0,0,18,16,0,0,0,262,363,0,0,0,1,3
12,0,0,0,0,0,0,0,0,0,580,2,0,0,0
13,10,224,0,0,20,227,22,0,0,0,1,37,0,0
14,0,0,0,0,0,0,0,0,0,221,0,0,0,0
15,0,0,0,0,0,0,0,0,0,22,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,483,664,0,0,0,0,0,0,0,0,118,80,0,0
3,0,0,2,0,0,0,0,1133,4,0,0,0,0,1
4,28,41,0,0,0,6,3,0,0,0,356,694,0,0
5,0,18,0,0,93,788,106,0,0,0,0,3,0,0
6,0,0,7,0,0,0,0,680,312,0,0,0,2,5
7,0,55,0,0,141,479,250,0,0,0,0,7,0,0
8,0,161,0,0,68,220,86,0,0,0,2,340,0,0
9,0,132,0,0,241,252,133,0,0,0,0,101,0,0
