leiden_1.0,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0.0,0.92899800928998,0.0,0.0,67.0205706702057,10.816191108161911,21.035169210351693,0.0,0.0,0.0,0.0,0.19907100199071004,0.0,0.0
1,0.0,2.496626180836707,0.0,0.0,49.46018893387315,28.07017543859649,19.298245614035086,0.0,0.0,0.0,0.0,0.6747638326585695,0.0,0.0
10,0.1272264631043257,0.1272264631043257,27.353689567430024,18.829516539440203,0.0,0.0,0.0,12.086513994910941,23.02798982188295,2.2900763358778624,0.0,0.1272264631043257,8.524173027989821,7.506361323155216
11,0.0,0.0,2.7149321266968327,2.413273001508296,0.0,0.0,0.0,39.51734539969834,54.75113122171946,0.0,0.0,0.0,0.1508295625942685,0.4524886877828055
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.65635738831615,0.3436426116838488,0.0,0.0,0.0
13,1.8484288354898337,41.40480591497228,0.0,0.0,3.6968576709796674,41.95933456561922,4.066543438077634,0.0,0.0,0.0,0.18484288354898337,6.839186691312385,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2,35.910780669144984,49.36802973977695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.773234200743495,5.947955390334572,0.0,0.0
3,0.0,0.0,0.17543859649122806,0.0,0.0,0.0,0.0,99.3859649122807,0.3508771929824561,0.0,0.0,0.0,0.0,0.08771929824561403
4,2.4822695035460995,3.6347517730496453,0.0,0.0,0.0,0.5319148936170213,0.26595744680851063,0.0,0.0,0.0,31.560283687943265,61.52482269503546,0.0,0.0
5,0.0,1.7857142857142856,0.0,0.0,9.226190476190476,78.17460317460318,10.515873015873016,0.0,0.0,0.0,0.0,0.2976190476190476,0.0,0.0
6,0.0,0.0,0.6958250497017893,0.0,0.0,0.0,0.0,67.59443339960238,31.01391650099404,0.0,0.0,0.0,0.19880715705765406,0.4970178926441352
7,0.0,5.901287553648069,0.0,0.0,15.128755364806867,51.39484978540773,26.824034334763947,0.0,0.0,0.0,0.0,0.7510729613733905,0.0,0.0
8,0.0,18.358038768529074,0.0,0.0,7.753705815279361,25.085518814139114,9.806157354618016,0.0,0.0,0.0,0.22805017103762829,38.76852907639681,0.0,0.0
9,0.0,15.366705471478465,0.0,0.0,28.055878928987195,29.336437718277065,15.48311990686845,0.0,0.0,0.0,0.0,11.757857974388825,0.0,0.0
