leiden_10.0,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
45,0.0,0.0,0.0,15.942028985507244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.898550724637681,81.15942028985508,0.0,0.0
46,0.0,0.0,4.3478260869565215,85.5072463768116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.695652173913043,1.4492753623188406,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.36231884057972,24.637681159420293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,76.81159420289855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4492753623188406,21.73913043478261,0.0,0.0
49,0.0,0.0,0.0,83.82352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.176470588235293,0.0,0.0
5,0.0,0.8064516129032258,0.0,4.032258064516129,0.0,0.0,74.19354838709677,20.161290322580644,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,1.4705882352941175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.52941176470588,0.0,0.0,0.0,0.0
51,2.941176470588235,0.0,0.0,0.0,0.0,1.4705882352941175,0.0,0.0,0.0,72.05882352941177,19.11764705882353,0.0,0.0,0.0,0.0,4.411764705882353
52,0.0,0.0,0.0,0.0,0.0,1.4925373134328357,1.4925373134328357,0.0,0.0,4.477611940298507,92.53731343283582,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,3.1746031746031744,0.0,0.0,31.746031746031743,15.873015873015872,49.2063492063492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,19.047619047619047,0.0,0.0,0.0,1.5873015873015872,0.0,0.0,0.0,0.0,41.269841269841265,36.507936507936506,0.0,0.0,0.0,0.0,1.5873015873015872
