leiden_0.3,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0.0,5.340114431023522,0.0,1.2078830260648443,0.0,0.0,46.789574062301334,29.688493324856964,15.956770502225048,0.0,0.0,0.0,0.0,1.0171646535282899,0.0,0.0
1,0.0,0.0,7.046979865771812,61.4765100671141,0.0,0.0,0.0,0.4026845637583893,0.0,0.0,0.0,0.0,8.25503355704698,22.75167785234899,0.06711409395973154,0.0
2,7.5825825825825826,0.0,0.0,0.0,0.6006006006006006,1.4264264264264264,0.0,0.0,0.0,52.327327327327325,32.05705705705706,0.0,0.0,0.0,0.9009009009009009,5.105105105105105
3,0.0,0.6517690875232774,0.0,0.27932960893854747,0.0,0.0,35.754189944134076,39.47858472998138,23.370577281191807,0.0,0.37243947858473,0.0,0.0,0.0931098696461825,0.0,0.0
4,0.0,0.0,0.0,0.26455026455026454,0.0,0.0,0.0,81.48148148148148,18.253968253968253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,99.28571428571429,0.0,0.0,0.0,0.0
6,0.0,0.0,10.648148148148149,6.944444444444445,25.925925925925924,19.444444444444446,0.0,0.0,0.0,0.4629629629629629,8.796296296296296,0.0,9.25925925925926,0.0,12.037037037037036,6.481481481481481
7,0.0,0.0,0.0,0.5780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.42196531791907,0.0,0.0,0.0,0.0
