leiden_0.8,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0,0,0,393,0,0,0,0,0,0,0,0,2,266,0,0
1,86,0,0,0,4,3,0,0,0,439,61,0,0,0,2,12
10,0,0,0,7,0,0,17,164,89,0,0,0,0,1,0,0
11,5,0,0,0,3,1,0,0,0,143,100,0,0,0,2,6
12,0,0,0,0,0,0,4,0,0,0,0,249,0,0,0,0
13,0,0,0,0,0,0,3,162,77,0,0,0,0,0,0,0
14,9,0,0,0,1,2,0,0,0,23,196,0,0,0,1,4
15,1,0,0,0,0,13,0,0,0,92,70,0,0,0,7,49
16,0,0,0,38,0,0,4,1,0,0,0,172,1,1,0,0
17,0,0,23,15,56,42,0,0,0,1,19,0,20,0,26,11
18,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
2,0,77,0,4,0,0,372,39,28,0,0,0,0,2,0,0
3,0,6,0,2,0,0,396,45,68,0,0,0,0,0,0,0
4,0,0,101,216,0,0,0,0,0,0,0,0,116,63,0,0
5,0,1,0,3,0,0,93,252,125,0,0,0,0,14,0,0
6,0,0,0,1,0,0,0,290,64,0,0,0,0,0,0,0
7,0,7,0,1,0,0,211,79,19,0,4,3,0,0,0,0
8,0,0,0,10,0,0,22,173,101,0,0,0,0,0,0,0
9,0,0,4,265,0,0,0,0,0,0,0,0,4,9,1,0
