statistic,reads_per_cell
count,14754.0
mean,7049.337061135963
std,9535.519121797795
min,1283.0
1%,1356.53
5%,1444.0
25%,2678.0
50%,5715.0
75%,8349.5
95%,16149.199999999983
99%,36109.259999999966
max,358273.0
