leiden_0.1,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0.0,0.0,3.0293052354297,0.0,0.49390846229832075,0.0,0.0,1.317089232795522,0.0,36.318735594336516,25.38689496213368,22.95027988146197,1.2183075403358576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28547909120843,0.0,0.0,0.0
1,14.522653721682849,0.0,0.9304207119741101,3.114886731391586,0.28317152103559873,0.0,0.0,0.0,0.0,0.7686084142394822,4.207119741100324,0.04045307443365696,0.0,0.0,5.016181229773463,0.0,8.535598705501618,0.0,0.0,0.0,15.331715210355986,8.414239482200648,1.2135922330097086,3.5194174757281553,3.762135922330097,3.7216828478964405,26.618122977346275
2,0.0,3.824200913242009,0.0,0.0,0.0,0.0,0.7420091324200913,0.0,0.0,0.0,0.05707762557077625,0.0,0.0,0.5707762557077625,0.0,0.0,0.0,65.41095890410958,25.62785388127854,3.767123287671233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,32.86835222319093,0.0,0.0,34.001743679163035,0.0,0.0,0.0,0.0,13.339145597210115,0.0,18.57018308631212,0.0,0.0,1.2205754141238012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,96.3157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,1.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5789473684210527,0.0,0.0,0.0
