leiden_0.3,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0,0,25,0,15,0,0,40,0,91,742,684,2,0,0,0,0,0,0,0,0,0,0,222,0,0,0
1,0,58,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,1129,56,60,0,0,0,0,0,0,0
2,13,0,0,8,0,0,0,0,0,0,0,0,0,0,32,0,66,0,0,0,359,3,29,0,85,86,593
3,0,0,9,0,0,0,0,0,0,980,9,13,32,0,0,0,0,0,0,0,0,0,0,54,0,0,0
4,346,0,23,51,7,0,0,0,0,26,121,1,0,0,92,0,9,0,0,0,19,205,0,88,7,5,62
5,0,0,0,0,0,376,0,0,348,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0
6,0,9,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,17,393,6,0,0,0,0,0,0,0
7,0,0,0,0,0,1,0,0,42,0,0,0,0,153,0,124,0,0,14,0,0,0,0,0,0,0,0
8,0,0,241,0,0,0,0,0,0,26,5,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0
9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,1,0,1,0,1,1,3
