leiden_0.05,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0.0,0.0,8.590371865090804,0.0,0.6341885269530124,0.0,0.0,1.153070049005477,0.0,32.37244162582877,25.338714326895357,20.121072355145575,1.0665897953300663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.723551455750936,0.0,0.0,0.0
1,16.091438816674135,0.0,0.0,3.451367099955177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.558045719408337,0.0,9.457642312864186,0.0,0.0,0.0,16.98789780367548,9.323173464813985,1.344688480502017,0.0,4.168534289556253,4.123711340206185,29.49350067234424
2,0.0,3.4932221063607924,0.0,0.0,0.0,0.0,0.6777893639207508,0.0,0.0,0.0,0.0,0.0,0.0,8.498435870698644,0.0,0.0,0.0,59.74973931178311,24.13972888425443,3.441084462982273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,38.46938775510204,0.0,0.0,39.795918367346935,0.0,0.0,0.0,0.0,0.0,0.0,21.73469387755102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
