leiden_0.2,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
1,0.0,0.0,1.378614660390047,0.0,0.5043712172158709,0.0,0.0,1.3449899125756557,0.0,36.68459986550101,25.924680564895763,23.436449226630803,1.21049092131809,0.0,0.0,0.0,0.0,0.03362474781439139,0.0,0.0,0.0,0.0,0.0,9.482178883658372,0.0,0.0,0.0
2,14.493338716188939,0.0,0.9285425918449738,3.108599111828825,0.28259991925716593,0.0,0.0,0.0,0.0,0.8477997577714977,4.158255954784013,0.04037141703673799,0.0,0.0,5.0060557125555105,0.0,8.518368994751716,0.0,0.20185708518368994,0.0,15.260395639886958,8.397254743641502,1.2111425111021397,3.512313282196205,3.754541784416633,3.714170367379895,26.5643924101736
3,0.0,3.83514596451059,0.0,0.0,0.0,0.0,0.7441327990841442,0.0,0.0,0.0,0.11448196908986834,0.0,0.0,0.5724098454493417,0.0,0.0,0.0,65.54092730394963,25.414997137950774,3.777904979965655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,32.8397212543554,0.0,0.0,33.972125435540065,0.0,0.0,0.0,0.0,13.32752613240418,0.0,18.554006968641115,0.0,0.0,1.2195121951219512,0.0,0.08710801393728224,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,92.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,4.365079365079365,1.1904761904761905,0.0,0.3968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1904761904761905,0.0,0.0,0.0
