leiden_0.8,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0,0,9,0,0,0,0,0,0,973,9,15,32,0,0,0,0,0,0,0,0,0,0,55,0,0,0
1,0,7,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,872,23,0,0,0,0,0,0,0,0
10,30,0,0,29,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,26,13,5,0,44,6,216
11,2,0,23,16,7,0,0,0,0,31,136,12,0,0,18,0,1,0,0,0,1,67,0,90,1,1,13
12,0,0,0,0,0,3,0,0,46,0,0,0,0,153,0,203,0,0,14,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,289,0,0,0,0,0,0,0,0
14,0,0,241,0,0,0,0,0,0,26,5,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0
2,0,0,0,0,0,374,0,0,344,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,169,1,5,0,30,84,402
4,0,0,7,0,4,0,0,10,0,20,110,412,1,0,0,0,0,0,0,0,0,0,0,116,0,0,0
5,0,0,16,0,10,0,0,20,0,9,388,191,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
6,0,60,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,272,137,66,0,0,0,0,0,0,0
7,319,0,0,10,0,0,0,0,0,0,0,0,0,0,29,0,8,0,0,0,15,125,0,0,8,0,8
8,0,0,2,0,1,0,0,10,0,64,229,68,1,0,0,0,0,0,0,0,0,0,0,91,0,0,0
9,3,0,0,22,0,0,0,0,0,0,0,0,0,0,10,0,196,0,0,0,167,2,20,0,10,1,19
