leiden_10.0,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0,0,1,0,0,0,0,0,0,176,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,148,0,0,21,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10,0,0,12,0,0,0,0,0,0,0,119,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,12,1,115
13,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,123,3,0,0,0,0,0,0,0,0
14,0,0,86,0,0,0,0,0,0,33,2,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0
15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,26,1,2,0,21,3,65
16,0,0,0,0,0,110,0,0,8,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
17,0,0,0,0,6,0,0,5,0,4,81,23,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
18,0,0,0,0,0,0,0,0,0,80,2,8,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,4,12,87
2,0,0,1,0,5,0,0,9,0,4,150,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,114,1,0,0,0,0,0,0,0,0
21,83,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,27,0,0,2,0,0
22,0,0,0,0,0,4,0,0,106,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
23,17,0,0,9,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,10,0,0,0,0,4,52
24,0,0,1,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,1,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89,8,9,0,0,0,0,0,0,0
27,0,0,1,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0
