,orig.ident,nCount_RNA,nFeature_RNA,bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,total_counts_ribo,log1p_total_counts_ribo,pct_counts_ribo,doublet_scores,predicted_doublets,doublet_info,n_counts,leiden_0.3,leiden_1.0,leiden_0.05,leiden_0.1,leiden_0.8,leiden_1.2,leiden_10.0,region_annotation
01_01_05__s1,0,11758.0,3707,01_01_05__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3707,11758,24513,1,1,5,A1,A1,A5,3707,3707,8.218247926685745,4036.0953894545773,8.303280749371055,0.6154476460188276,0.47961209846470243,0.01524859019999517,37.53212902875064,3.6514924135026283,0.9299118431842264,0.025178147268408554,False,False,4036.0953894545773,6,11,0,3,11,9,64,Anterior Pre-placodal Region
01_01_25__s1,0,7327.0,2883,01_01_25__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2883,7327,15222,1,1,25,A1,A1,C1,2883,2883,7.96693349840484,3673.1665411103213,8.209081594391241,0.8606998233508829,0.6209526660745395,0.023432093636862744,28.24834909208315,3.3758231307886932,0.7690462377876356,0.062371487320082235,False,False,3673.1665411103213,7,16,1,5,14,14,59,Posterior Paraxial Mesoderm
01_01_34__s1,0,10280.0,3282,01_01_34__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3282,10280,21550,1,1,34,A1,A1,C10,3282,3282,8.096512917501594,3804.915908207761,8.244311953079102,0.0,0.0,0.0,38.444478473051504,3.6748940748359047,1.010389701126407,0.0923076923076923,False,False,3804.915908207761,5,8,2,4,8,8,39,Outer Neural Plate Border
01_01_36__s1,0,2238.0,1318,01_01_36__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1318,2238,4650,1,1,36,A1,A1,C12,1318,1318,7.1846291527173145,2622.8981414888435,7.872416331280374,0.0,0.0,0.0,18.68859580665677,2.980039575057552,0.7125170250053442,0.020080321285140566,False,False,2622.8981414888435,8,13,3,4,12,11,4,Hindgut Primordium
01_01_53__s1,0,8358.0,2930,01_01_53__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2930,8358,17423,1,1,53,A1,A1,E5,2930,2930,7.983098940710892,3641.4559734784502,8.200413451099525,0.7868462827711756,0.5804522127634356,0.021608013072297334,48.56089026765123,3.9032020200308204,1.333556978893366,0.015565839293226757,False,False,3641.4559734784502,2,3,1,1,4,4,19,Posterior Paraxial Mesoderm
01_01_55__s1,0,7946.0,2542,01_01_55__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2542,7946,16501,1,1,55,A1,A1,E7,2542,2542,7.841099765422119,3289.808554122652,8.098888574696602,0.8146985914834588,0.5959193886280759,0.024764316162486484,11.201998054328412,2.5015997132745103,0.3405060771785802,0.027263875365141185,False,False,3289.808554122652,1,9,2,2,9,19,52,Outer Epidermis
01_01_67__s1,0,8362.0,2647,01_01_67__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2647,8362,17141,1,1,67,A1,A1,F7,2647,2647,7.881559917056899,3251.8545633229483,8.087288216996477,1.57317135757427,0.9451391294396991,0.04837766655734767,42.20400109055364,3.7659331087981873,1.2978440538689697,0.03764320785597382,False,False,3251.8545633229483,2,3,1,1,4,4,48,Posterior Paraxial Mesoderm
01_01_71__s1,0,4992.0,2217,01_01_71__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2217,4992,10335,1,1,71,A1,A1,F11,2217,2217,7.704361167910313,3330.13212015617,8.11106750121861,3.0469629272962253,1.3979667053121672,0.09149675800710678,36.98112973464351,3.6370894504563247,1.1105003765709225,0.012997562956945574,False,False,3330.13212015617,4,11,0,3,11,9,78,Early Neuron
01_02_05__s1,0,8627.0,3260,01_02_05__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3260,8627,17870,1,2,5,A1,A2,A5,3260,3260,8.089789175789319,3872.6434163442004,8.261950794388278,1.5394306419128474,0.9319398991763456,0.03975141722100713,38.33083497679856,3.672008816241211,0.9897847763371695,0.1633165829145729,False,False,3872.6434163442004,4,1,0,0,3,22,34,Neural Crest
01_02_06__s1,0,5349.0,2259,01_02_06__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2259,5349,11392,1,2,6,A1,A2,A6,2259,2259,7.723120092266331,3276.0290706077785,8.094692519763457,1.054140697782158,0.7198576085674768,0.032177391441358325,41.4953838006198,3.749395453575172,1.2666366172666916,0.026557218734910674,False,False,3276.0290706077785,2,3,1,1,4,4,48,Posterior Paraxial Mesoderm
01_02_38__s1,0,5269.0,2181,01_02_38__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2181,5269,11042,1,2,38,A1,A2,D2,2181,2181,7.687997166393016,3241.4368027810165,8.084080425724952,2.1507818802926204,1.1476506380029667,0.06635273217257669,31.0423471476108,3.4670583763088585,0.957672447014169,0.030980192991366177,False,False,3241.4368027810165,8,13,3,4,12,11,4,Outer Epidermis
01_02_47__s1,0,6643.0,2862,01_02_47__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2862,6643,13928,1,2,47,A1,A2,D11,2862,2862,7.959625305098115,3735.9565858669102,8.226026812042274,3.6963516054442307,1.546785953113943,0.09893989719868522,40.11375551455046,3.7163427495602974,1.0737211365437285,0.039466370205669815,False,False,3735.9565858669102,4,11,0,3,11,9,73,Anterior Pre-placodal Region
01_02_54__s1,0,5899.0,2356,01_02_54__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2356,5899,12516,1,2,54,A1,A2,E6,2356,2356,7.7651449029361315,3320.727475064467,8.108240250403636,0.9914733691456338,0.6888747512908674,0.029857113436458253,24.90516500404171,3.254442369829238,0.7499912350849632,0.009686168151879115,False,False,3320.727475064467,0,1,0,0,3,2,1,Eye Primordium
01_02_55__s1,0,5981.0,2299,01_02_55__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2299,5981,12484,1,2,55,A1,A2,E7,2299,2299,7.7406644019172415,3220.166608874822,8.077498873816134,4.9031809242537125,1.775491345332099,0.15226482104188277,6.3828414162890645,1.9991585802701592,0.19821463270558326,0.0189010989010989,False,False,3220.166608874822,1,0,2,2,0,0,2,Outer Epidermis
01_02_79__s1,0,6003.0,2558,01_02_79__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2558,6003,12687,1,2,79,A1,A2,G7,2558,2558,7.847371836159788,3532.4329345635338,8.170025180062161,0.9805168603941472,0.6833578512443784,0.02775755063316721,31.43266220378713,3.4791660077235416,0.8898304026165734,0.013496932515337425,False,False,3532.4329345635338,4,5,0,0,7,5,20,Neural Crest
01_02_82__s1,0,7676.0,2937,01_02_82__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2937,7676,15729,1,2,82,A1,A2,G10,2937,2937,7.9854843567338225,3722.1140113090064,8.222315696908797,0.83410920912304,0.6065589190205509,0.02240955560707549,36.85232729593334,3.6336924653362095,0.9900913078955629,0.012505042355788625,False,False,3722.1140113090064,6,2,0,3,5,1,0,Inner Epidermis
01_02_91__s1,0,6320.0,2069,01_02_91__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2069,6320,12979,1,2,91,A1,A2,H7,2069,2069,7.635303886259415,2959.0245187179175,7.992952830634447,0.0,0.0,0.0,6.169970605184325,1.969901554907773,0.20851366949327077,0.007927519818799546,False,False,2959.0245187179175,1,0,2,2,0,0,3,Outer Epidermis
01_03_16__s1,0,3333.0,1697,01_03_16__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1697,3333,6957,1,3,16,A1,A3,B4,1697,1697,7.437206366871292,2969.170333183011,7.996374581392296,1.386369365807719,0.8697731171462814,0.04669214663483125,15.809689526316507,2.8219554776673603,0.532461521308823,0.023842917251051896,False,False,2969.170333183011,7,10,0,0,6,18,61,Inner Neural Plate
01_03_36__s1,0,11980.0,3338,01_03_36__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3338,11980,25071,1,3,36,A1,A3,C12,3338,3338,8.113426639943654,3683.283462292859,8.211831338577161,0.606894356288172,0.4743033448857591,0.016476992946678554,43.92535558622045,3.805002347746155,1.1925597374163739,0.02068345323741007,False,False,3683.283462292859,3,15,1,1,2,13,79,Lateral Mesoderm
01_03_64__s1,0,3883.0,1846,01_03_64__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1846,3883,8006,1,3,64,A1,A3,F4,1846,1846,7.52131798019924,3040.885105040955,8.020232702559914,5.09622807721254,1.8076702319253521,0.167590287076759,14.014627212334489,2.709024873443731,0.4608732894610873,0.05323193916349809,False,False,3040.885105040955,9,18,4,6,15,20,53,Ciliated Epidermal Progenitor
01_03_69__s1,0,7399.0,2373,01_03_69__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2373,7399,15578,1,3,69,A1,A3,F9,2373,2373,7.772331575169614,3100.113054376257,8.039516375829077,0.0,0.0,0.0,27.672815850089265,3.355949490980653,0.8926389252490354,0.041359773371104816,False,False,3100.113054376257,2,6,1,1,4,6,84,Posterior Paraxial Mesoderm
01_03_79__s1,0,7615.0,3037,01_03_79__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3037,7615,16050,1,3,79,A1,A3,G7,3037,3037,8.018954683155718,3811.3308101355333,8.24599604226158,0.0,0.0,0.0,29.609623633813758,3.4213144573513077,0.7768841149939651,0.062371487320082235,False,False,3811.3308101355333,2,10,0,3,6,17,81,Inner Neural Plate
01_04_06__s1,0,7703.0,2866,01_04_06__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2866,7703,15930,1,4,6,A1,A4,A6,2866,2866,7.96102146588337,3640.509134930099,8.200153472217256,1.6642485067446255,0.9799220316400722,0.045714718602857744,13.825283582089323,2.6963340733409282,0.3797623648142495,0.041359773371104816,False,False,3640.509134930099,7,16,1,5,14,14,59,Notochord
01_04_21__s1,0,6555.0,2222,01_04_21__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2222,6555,13774,1,4,21,A1,A4,B9,2222,2222,7.706612913964197,2971.4562012006045,7.997143893788796,0.0,0.0,0.0,24.667977465805098,3.245244201977844,0.8301645992910177,0.03503184713375796,False,False,2971.4562012006045,2,6,1,1,10,6,27,Pharyngeal Mesoderm
01_04_27__s1,0,3421.0,1793,01_04_27__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1793,3421,7012,1,4,27,A1,A4,C3,1793,1793,7.492203042618741,3055.733462794946,8.025102128948308,1.3668877384202012,0.8615759016167466,0.0447319033241194,30.375079740996004,3.4460139389944078,0.9940356418787013,0.035886448848419926,False,False,3055.733462794946,0,12,0,0,3,10,67,Eye Primordium
01_04_29__s1,0,3447.0,1763,01_04_29__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1763,3447,7224,1,4,29,A1,A4,C5,1763,1763,7.475339236566737,3009.823806863748,8.009969010284605,0.0,0.0,0.0,37.06050494427271,3.639177128839185,1.231318087781688,0.015565839293226757,False,False,3009.823806863748,3,7,1,1,2,7,11,Ventral Mesoderm
01_04_31__s1,0,3214.0,1780,01_04_31__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1780,3214,6569,1,4,31,A1,A4,C7,1780,1780,7.484930283289661,3087.0226984185665,8.035286261641799,5.655042425169492,1.8953748267583093,0.1831875880947193,19.78252063220216,3.034112279190671,0.640828479892177,0.019486271036315325,False,False,3087.0226984185665,6,2,0,3,5,1,23,Inner Epidermis
01_04_60__s1,0,5112.0,2177,01_04_60__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2177,5112,10375,1,4,60,A1,A4,E12,2177,2177,7.686162303492906,3261.511014213667,8.090252427629439,1.0838984131239748,0.7342403766012512,0.033233014035529695,33.7006281803907,3.546757789970241,1.0332826727710973,0.025178147268408554,False,False,3261.511014213667,0,4,0,0,1,3,90,Inner Neural Plate
01_04_81__s1,0,8486.0,2733,01_04_81__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2733,8486,17773,1,4,81,A1,A4,G9,2733,2733,7.913521017283895,3419.864968447821,8.137648712829932,1.9895909337947142,1.0951365666031614,0.05817747051860158,21.71309595718752,3.122941672549761,0.6349109148318939,0.039466370205669815,False,False,3419.864968447821,5,19,2,4,17,21,92,L/R Organizer Mesoderm
01_05_01__s1,0,6446.0,2548,01_05_01__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2548,6446,13177,1,5,1,A1,A5,A1,2548,2548,7.8434564043761155,3464.659594425308,8.150658252649505,2.8098675094663728,1.3375944141156906,0.08110082485412114,29.163728675598456,3.406640165325753,0.8417487456061588,0.10674157303370788,False,False,3464.659594425308,5,19,2,4,17,21,86,L/R Organizer Mesoderm
01_05_06__s1,0,3207.0,1467,01_05_06__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1467,3207,6642,1,5,6,A1,A5,A6,1467,1467,7.291656209174461,2622.9656537914766,7.872442060722017,1.4154110713506494,0.8818694884996429,0.053962241911352654,5.6616442854025975,1.8963663437801408,0.21584896764541062,0.0189010989010989,False,False,2622.9656537914766,1,0,2,2,0,0,8,Outer Epidermis
01_05_08__s1,0,4947.0,2318,01_05_08__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2318,4947,10369,1,5,8,A1,A5,A8,2318,2318,7.7488913372555315,3422.711293107355,8.138480415104796,1.1057292785581059,0.7446618577556139,0.032305654315186325,39.386216946695974,3.69848856207145,1.1507314983303387,0.032558139534883714,False,False,3422.711293107355,3,7,1,1,2,7,35,Ventral Mesoderm
01_05_24__s1,0,5625.0,2148,01_05_24__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2148,5625,11777,1,5,24,A1,A5,B12,2148,2148,7.67275789664251,3055.039007256593,8.024874914359595,4.086604990127926,1.6266106119760133,0.13376604948156368,37.44232653481884,3.6491591060692175,1.2255924211076386,0.017756604590731917,False,False,3055.039007256593,2,6,1,1,4,6,13,Posterior Paraxial Mesoderm
01_05_26__s1,0,7627.0,2961,01_05_26__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2961,7627,15866,1,5,26,A1,A5,C2,2961,2961,7.993619994827744,3709.2323764603407,8.218849788804492,9.094109062814974,2.3119519925768564,0.24517496182035733,25.23562857883039,3.267118356403027,0.6803463902391669,0.05569948186528497,False,False,3709.2323764603407,0,4,0,0,1,3,14,Inner Neural Plate
01_05_55__s1,0,5027.0,2211,01_05_55__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2211,5027,10631,1,5,55,A1,A5,E7,2211,2211,7.701652362642226,3269.447623739229,8.09268214251664,0.0,0.0,0.0,28.072276807458344,3.3697850330538066,0.8586244539789388,0.006256900993743099,False,False,3269.447623739229,0,1,0,0,3,2,1,Eye Primordium
01_05_62__s1,0,4083.0,1771,01_05_62__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1771,4083,8474,1,5,62,A1,A5,F2,1771,1771,7.4798641311650265,2904.4372452036077,7.974339172659848,3.714409151635423,1.5506235957486216,0.1278873956656975,15.290130323253798,2.7905594227816946,0.5264403749299091,0.029455816275586622,False,False,2904.4372452036077,1,0,2,2,0,0,8,Outer Epidermis
01_05_64__s1,0,5487.0,2375,01_05_64__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2375,5487,11320,1,5,64,A1,A5,F4,2375,2375,7.773173680482536,3426.982966084023,8.139727310651656,1.037619304257199,0.7117821186553105,0.030277924183640625,20.1716501443733,3.0526630294105663,0.5886125009667974,0.05569948186528497,False,False,3426.982966084023,5,9,2,2,9,16,17,Outer Neural Plate
01_05_74__s1,0,3959.0,1981,01_05_74__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1981,3959,8217,1,5,74,A1,A5,G2,1981,1981,7.591861714889934,3188.5103021678433,8.067622673702767,1.8003525680252295,1.029745326406127,0.05646375258067016,27.059128396827944,3.334314012068853,0.8486448476716745,0.026557218734910674,False,False,3188.5103021678433,4,5,0,0,7,5,26,Inner Neural Plate Border
01_05_81__s1,0,6415.0,2192,01_05_81__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2192,6415,13482,1,5,81,A1,A5,G9,2192,2192,7.693025748417888,3084.308897944803,8.034407060320369,3.8580967905562087,1.5806467543329648,0.1250878857538235,9.407481935299053,2.342524964346746,0.3050110169434595,0.017196904557179708,False,False,3084.308897944803,1,0,2,2,0,0,2,Goblet Cell
01_05_87__s1,0,6519.0,2475,01_05_87__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2475,6519,13613,1,5,87,A1,A5,H3,2475,2475,7.814399633804487,3359.082746933375,8.119720879717514,1.4031404672736694,0.8767764100079003,0.041771536249133656,30.107079419369814,3.437435427343824,0.896288709971662,0.03764320785597382,False,False,3359.082746933375,4,5,0,0,7,5,40,Inner Neural Plate
01_06_12__s1,0,9501.0,3093,01_06_12__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3093,9501,19954,1,6,12,A1,A6,A12,3093,3093,8.037220031133012,3700.1112132943995,8.21638838146032,0.7190686900814913,0.5417826849284162,0.019433704789680293,27.25339252585418,3.3412135397930616,0.736556037232975,0.029455816275586622,False,False,3700.1112132943995,7,10,0,0,6,18,43,Inner Neural Plate
01_06_27__s1,0,7477.0,2349,01_06_27__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2349,7477,15350,1,6,27,A1,A6,C3,2349,2349,7.762170607138205,3071.213870491347,8.03015371114482,0.0,0.0,0.0,8.696719483203317,2.2717876306997233,0.2831688006739816,0.006256900993743099,False,False,3071.213870491347,7,16,1,5,14,14,5,Notochord
01_06_34__s1,0,5099.0,2088,01_06_34__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2088,5099,10607,1,6,34,A1,A6,C10,2088,2088,7.644440761556566,3122.193659647265,8.04661136613451,2.171168148778628,1.1541000212012966,0.06953982953843803,33.962397983073025,3.5542731406281622,1.0877735875906551,0.027982326951399118,False,False,3122.193659647265,2,3,1,1,4,4,48,Posterior Paraxial Mesoderm
01_06_35__s1,0,6595.0,2660,01_06_35__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2660,6595,13658,1,6,35,A1,A6,C11,2660,2660,7.886457270977689,3561.2760275895125,8.178154953151981,0.0,0.0,0.0,24.677110783963933,3.2455999640795947,0.6929288994390839,0.009237875288683603,False,False,3561.2760275895125,4,5,0,0,7,5,30,Neural Crest
01_06_36__s1,0,3960.0,1853,01_06_36__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1853,3960,8225,1,6,36,A1,A6,C12,1853,1853,7.5251007461258,3055.7502064908435,8.025107606576713,5.579997964184371,1.8840344359427055,0.1826064824386388,42.19079720018587,3.7656274447829503,1.380701770405404,0.013496932515337425,False,False,3055.7502064908435,3,14,1,1,13,12,70,Ventral Mesoderm
01_06_88__s1,0,4464.0,2131,01_06_88__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2131,4464,9487,1,6,88,A1,A6,H4,2131,2131,7.664815785285735,3302.6371536378424,8.102779308282646,4.702470314283244,1.7408994694255906,0.1423853149930046,19.553595866960094,3.0230359069953794,0.5920600707050692,0.019486271036315325,False,False,3302.6371536378424,0,1,0,0,3,2,16,Eye Primordium
01_06_92__s1,0,4533.0,2149,01_06_92__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2149,4533,9449,1,6,92,A1,A6,H8,2149,2149,7.673223121121708,3296.964880669699,8.101060854387802,0.0,0.0,0.0,39.521286747890436,3.7018274347472144,1.1987172499047862,0.03176229508196721,False,False,3296.964880669699,3,15,1,1,2,13,74,Pharyngeal Mesoderm
01_06_94__s1,0,7749.0,2361,01_06_94__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2361,7749,16083,1,6,94,A1,A6,H10,2361,2361,7.767263996757308,3029.2331346103365,8.016394837659144,0.0,0.0,0.0,13.867980178059685,2.699209919239315,0.4578049810564872,0.020080321285140566,False,False,3029.2331346103365,2,6,1,1,10,6,27,Lateral Mesoderm
01_06_95__s1,0,2625.0,1545,01_06_95__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1545,2625,5537,1,6,95,A1,A6,H11,1545,1545,7.343426229147367,2872.3506230489543,7.963234092273946,0.0,0.0,0.0,28.19512207569738,3.3740016431173183,0.9816044688085019,0.02068345323741007,False,False,2872.3506230489543,6,2,0,3,5,1,23,Inner Epidermis
01_07_01__s1,0,3305.0,1815,01_07_01__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1815,3305,6790,1,7,1,A1,A7,A1,1815,1815,7.504391559161238,3129.0301196934465,8.048797906393153,0.0,0.0,0.0,27.6678134678887,3.3557750114790235,0.8842296944907433,0.016645326504481434,False,False,3129.0301196934465,2,10,1,1,6,17,28,Ventral Blood Island
01_07_02__s1,0,5765.0,2421,01_07_02__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2421,5765,11995,1,7,2,A1,A7,A2,2421,2421,7.792348924113037,3440.9541094382885,8.143794644154509,0.0,0.0,0.0,29.981931397002068,3.4334041763960723,0.871326104430274,0.0189010989010989,False,False,3440.9541094382885,3,7,1,1,2,7,35,Ventral Mesoderm
01_07_04__s1,0,13704.0,4144,01_07_04__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,4144,13704,28403,1,7,4,A1,A7,A4,4144,4144,8.329658067569396,4144.246145462175,8.329717449512447,1.4478848129043418,0.8952243099908785,0.034937230127842,41.687027444533584,3.753895067156319,1.0059013384178357,0.05203761755485893,False,False,4144.246145462175,8,13,3,4,12,11,4,Outer Epidermis
01_07_19__s1,0,4170.0,2016,01_07_19__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2016,4170,8504,1,7,19,A1,A7,B7,2016,2016,7.6093665379542115,3212.5649715511227,8.075136182920668,1.2232110178918791,0.798952555304639,0.03807583749197378,20.141115826962128,3.051219761781494,0.6269481241724861,0.023842917251051896,False,False,3212.5649715511227,7,10,0,0,6,18,61,Inner Neural Plate
01_07_22__s1,0,8619.0,2476,01_07_22__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2476,8619,18246,1,7,22,A1,A7,B10,2476,2476,7.814803429489359,3064.731231267496,8.028041394554569,0.0,0.0,0.0,26.085463340995133,3.2989971758860115,0.8511501130951324,0.0341925302472383,False,False,3064.731231267496,2,6,1,1,10,6,27,Notochord
01_07_27__s1,0,5049.0,2180,01_07_27__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2180,5049,10440,1,7,27,A1,A7,C3,2180,2180,7.687538766201629,3255.272280157598,8.088338347753155,3.2763640197834087,1.4531031204522329,0.10064792551315521,28.112352270125406,3.371162560749337,0.8635944968868902,0.01060070671378092,False,False,3255.272280157598,3,7,1,1,2,7,6,Ventral Mesoderm
01_07_37__s1,0,4526.0,2091,01_07_37__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2091,4526,9224,1,7,37,A1,A7,D1,2091,2091,7.645875825184813,3174.6410341154988,8.063264791456445,0.0,0.0,0.0,30.186563140699267,3.439987333483763,0.9508653991524331,0.08207171314741034,False,False,3174.6410341154988,3,14,1,1,13,12,71,Ventral Mesoderm
01_07_43__s1,0,2532.0,1438,01_07_43__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1438,2532,5202,1,7,43,A1,A7,D7,1438,1438,7.271703706887368,2731.3162114459096,7.912904957567547,0.0,0.0,0.0,9.595655212848094,2.360444031511597,0.3513198205552453,0.021295876755777075,False,False,2731.3162114459096,1,0,2,2,0,0,94,Goblet Cell
01_07_61__s1,0,7230.0,2775,01_07_61__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2775,7230,15031,1,7,61,A1,A7,F1,2775,2775,7.9287663216266955,3611.7116188670816,8.192213910322154,4.342065071845825,1.6756122957902593,0.12022180976918195,24.769124477303063,3.249177049593649,0.6858001715284405,0.01014040561622465,False,False,3611.7116188670816,6,2,0,3,5,1,0,Inner Epidermis
01_07_66__s1,0,3250.0,1779,01_07_66__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1779,3250,6842,1,7,66,A1,A7,F6,1779,1779,7.484368643286131,3071.760014342888,8.030331464171347,0.0,0.0,0.0,15.444425813063155,2.799986563437851,0.5027875140293807,0.03675675675675675,False,False,3071.760014342888,4,11,0,3,11,9,73,Anterior Pre-placodal Region
01_07_74__s1,0,3115.0,1720,01_07_74__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1720,3115,6499,1,7,74,A1,A7,G2,1720,1720,7.450660796211539,3020.3831262719946,8.013469994355827,0.0,0.0,0.0,30.202074902775784,3.4404845958982864,0.9999418497630687,0.06986899563318777,False,False,3020.3831262719946,4,5,0,0,7,5,87,Inner Neural Plate
01_07_93__s1,0,3559.0,1758,01_07_93__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1758,3559,7302,1,7,93,A1,A7,H9,1758,1758,7.472500744737558,3000.3361809210164,8.00681286213228,2.675141853904233,1.3015917316216827,0.08916140367587215,13.1430531017304,2.6492235566611946,0.4380526817396797,0.027982326951399118,False,False,3000.3361809210164,5,9,2,2,9,16,21,Outer Epidermis
01_08_01__s1,0,2664.0,1691,01_08_01__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1691,2664,5441,1,8,1,A1,A8,A1,1691,1691,7.433666540166168,3061.1847371480108,8.026883906581913,4.676803709701705,1.7363883471775128,0.15277757179917553,37.38501977910114,3.64766727356177,1.2212598385660103,0.030980192991366177,False,False,3061.1847371480108,6,2,0,3,5,1,23,Inner Epidermis
01_08_08__s1,0,5234.0,2238,01_08_08__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2238,5234,10954,1,8,8,A1,A8,A8,2238,2238,7.713784616598755,3320.4070190369575,8.108143773047038,1.0683539678426421,0.7267531063332057,0.032175391803397194,25.29256515646966,3.269286205547976,0.7617308664708657,0.01832460732984293,False,False,3320.4070190369575,5,9,2,2,9,16,12,Outer Neural Plate Border
01_08_10__s1,0,5033.0,2190,01_08_10__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2190,5033,10365,1,8,10,A1,A8,A10,2190,2190,7.692113339595466,3276.9235713562653,8.094965443399339,1.0942315568514742,0.7391866874481114,0.033392037776413246,33.26547287090694,3.5341382253484266,1.0151433851458094,0.039466370205669815,False,False,3276.9235713562653,5,19,2,4,17,21,86,L/R Organizer Mesoderm
01_08_19__s1,0,8676.0,2898,01_08_19__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2898,8676,17965,1,8,19,A1,A8,B7,2898,2898,7.972121128921655,3571.0654392735505,8.180899261893963,0.0,0.0,0.0,27.350178705111766,3.3446333336851732,0.7658828764189636,0.024505183788878417,False,False,3571.0654392735505,4,5,0,0,7,5,31,Inner Neural Plate Border
01_08_39__s1,0,9579.0,2500,01_08_39__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2500,9579,19872,1,8,39,A1,A8,D3,2500,2500,7.824445930877619,3040.851892691211,8.02022178415573,0.7148843608743813,0.5393456502829441,0.023509344950098682,14.105739756168749,2.7150747878975454,0.46387460665454855,0.03021148036253776,False,False,3040.851892691211,8,13,3,4,12,11,62,Midgut Primordium
01_08_41__s1,0,4057.0,2045,01_08_41__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2045,4057,8537,1,8,41,A1,A8,D5,2045,2045,7.6236419465115715,3271.955528465084,8.093448687016597,3.0226589383940095,1.3919431114453902,0.09238080750480056,43.43118718283594,3.793941636888742,1.3273770625852626,0.021295876755777075,False,False,3271.955528465084,3,15,1,1,2,13,18,Pharyngeal Mesoderm
