statistic,reads_per_cell
count,8908.0
mean,3490.722700302492
std,354.4261434109351
min,2105.603935955204
1%,2485.334225215871
5%,2845.0157202606015
25%,3281.126799407255
50%,3523.3332089303294
75%,3731.5244329718607
95%,4005.835953827701
99%,4243.173431020541
max,4724.712320264205
