region_annotation,cell_count,percent
Neural Plate Border,1227,20.467055879899917
Dorsal Inner Mesoderm,846,14.111759799833195
Inner Neuroectoderm,733,12.226855713094245
Outer Neuroectoderm,636,10.60884070058382
Outer Epidermis,472,7.8732276897414515
Inner Epidermis,378,6.305254378648874
Ventral Inner Mesoderm,349,5.821517931609675
Unidentified Cluster,334,5.571309424520433
Dorsal Inner Endoderm,197,3.2860717264386987
Dorsal Outer Endoderm,191,3.1859883236030027
Ventral Inner Endoderm,162,2.7022518765638033
Ventral Outer Mesoderm,151,2.518765638031693
Cement Gland Primordium,107,1.7848206839032528
Ventral Outer Endoderm,102,1.701417848206839
Dorsal Outer Mesoderm,98,1.634695579649708
Ciliated Epidermal Progenitor,12,0.20016680567139283
