leiden_1.0,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0,10,0,9,0,0,267,227,445,0,0,0,0,7,0,0
1,0,0,1,248,0,0,0,74,160,0,0,0,0,56,0,0
10,0,0,0,1,0,0,0,0,0,0,0,237,0,0,0,0
11,10,0,0,0,2,1,0,0,0,83,125,0,0,0,0,10
12,0,0,0,0,84,3,0,0,0,12,20,0,0,0,50,21
13,2,0,0,0,89,2,0,0,0,10,27,0,0,0,43,23
14,0,0,0,1,10,83,0,0,0,1,44,0,0,0,4,31
15,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0
2,0,0,0,2,0,0,29,28,456,0,0,0,0,6,0,0
3,0,0,0,389,0,0,0,0,0,0,0,0,2,119,0,0
4,89,0,0,0,4,4,0,0,0,301,74,0,0,0,5,25
5,6,0,0,0,2,5,0,0,0,65,346,0,0,0,0,41
6,0,0,47,16,0,0,0,0,0,0,0,0,149,151,0,0
7,0,0,149,168,0,0,0,0,0,0,0,0,11,10,0,0
8,0,0,0,12,0,0,81,162,81,0,0,0,0,0,0,0
9,0,2,0,0,0,0,1,242,85,0,0,0,0,0,0,0
