leiden_0.15,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0,12,0,15,0,0,378,733,1227,0,0,0,0,15,0,0
1,0,0,197,831,0,0,0,0,0,0,0,0,162,334,0,0
2,105,0,0,0,8,9,0,0,0,449,543,0,0,0,5,77
3,2,0,0,0,183,89,0,0,0,23,93,0,0,0,97,74
4,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0
