leiden_0.05,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0,12,1,326,0,0,378,733,1227,0,0,0,0,69,0,0
1,2,0,196,520,183,82,0,0,0,23,83,237,162,280,97,71
2,105,0,0,0,8,16,0,0,0,449,553,0,0,0,5,80
3,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0
