leiden_0.8,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0,10,0,10,0,0,267,235,548,0,0,0,0,8,0,0
1,0,0,195,127,0,0,0,0,0,0,0,0,161,152,0,0
10,0,0,0,0,84,3,0,0,0,12,20,0,0,0,50,21
11,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0
2,0,2,1,248,0,0,0,110,235,0,0,0,0,56,0,0
3,95,0,0,0,4,4,0,0,0,342,129,0,0,0,5,39
4,0,0,0,13,0,0,110,175,312,0,0,0,0,5,0,0
5,10,0,0,0,4,5,0,0,0,107,414,0,0,0,0,38
6,0,0,1,447,0,0,0,0,0,0,0,0,1,128,0,0
7,2,0,0,1,99,86,0,0,0,11,73,0,0,0,47,53
8,0,0,0,0,0,0,1,213,132,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0
