notebook,stage,condition,region_annotation,cell_count,percent_of_final_annotated
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Ventral Blood Island,131,1.4824
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Pre-placodal Region,131,1.4824
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Anterior Pre-placodal Region,128,1.4485
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Basal Cells,125,1.4145
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Neural Plate Border 1,124,1.4032
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Ciliated Epidermal Progenitor,120,1.3579
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Anterior Neural Crest,119,1.3466
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Cement Gland Primordium,110,1.2448
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Posterior Neural Crest,100,1.1316
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Ionocyte,96,1.0863
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Pharyngeal Primordium,89,1.0071
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Neural Plate Border 2,88,0.9958
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Pre-chordal Plate,64,0.7242
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Hindgut Primordium,58,0.6563
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Foregut Primordium,49,0.5545
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Pancreatic Primordium,47,0.5319
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,L/R Organizer Primordium,38,0.43
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Liver Primordium,27,0.3055
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Anterior Pharyngeal Primordium,21,0.2376
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Neural Plate 1,10,0.1132
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Other,5,0.0566
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Unknown,1,0.0113
